,Borough,Neighborhood,ID,Name,Latitude,Longitude
0,Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,40.89827261213805,-73.86731496814176
1,Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill,40.82977429787161,-73.85053524451935
2,Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill,40.625801065010656,-74.03062069353813
3,Brooklyn,Greenpoint,51a5445c498ee0f182370cb2,Agra Taj Mahal,40.7302009848647,-73.95424093127393
4,Brooklyn,Bushwick,5169f5c4e4b0c7fcb77a0f3c,Agra Heights,40.69811611017901,-73.92525797487045
5,Brooklyn,Brooklyn Heights,4b8ffc16f964a520246e33e3,Curry Heights,40.695863722724084,-73.99378225496424
6,Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,40.673931143187154,-73.99444087145339
7,Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,40.68852726018977,-73.97290574369092
8,Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill,40.693229421881504,-73.96784306216367
9,Brooklyn,Clinton Hill,4ace7c86f964a520d3d020e3,Kinara's,40.693229421881504,-73.96784306216367
10,Brooklyn,Boerum Hill,543870ec498ec64de510608d,Masala Grill,40.685682912091444,-73.98374824115798
11,Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,40.658420017469815,-73.95489867077713
12,Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,40.85190252555305,-73.93690027985234
13,Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,40.823604284811935,-73.94968791883366
14,Manhattan,Manhattanville,529d382a11d2dd5ef107e641,Chapati House - NYC,40.8169344294978,-73.9573853935188
15,Manhattan,Yorkville,4e221f671495f18f035610f6,Mumtaz,40.775929849884875,-73.94711784471826
16,Manhattan,Lenox Hill,547253e6498e45b94affb8d8,Rangoli Exquisite Indian Cuisine,40.76811265828733,-73.9588596881376
17,Manhattan,Upper West Side,4b0dec08f964a520ae5223e3,Alachi Masala,40.787657998534854,-73.97705923630603
18,Manhattan,Midtown,5953e40462420b044e8989f4,indikitch,40.75469110270623,-73.98166882730304
19,Manhattan,Midtown,49d91c12f964a520015e1fe3,The Kati Roll Company,40.75469110270623,-73.98166882730304
20,Manhattan,Greenwich Village,56c931b2cd10407d3ecbefda,Ananda,40.72693288536128,-73.99991402945902
21,Manhattan,Greenwich Village,4593ed04f964a52050401fe3,The Kati Roll Company,40.72693288536128,-73.99991402945902
22,Manhattan,Greenwich Village,4d992c1e942ba093ebb5968c,THELEwala,40.72693288536128,-73.99991402945902
23,Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,40.721521967443216,-74.01068328559087
24,Manhattan,West Village,5803c0db38fa71491b748a7d,Taco Mahal,40.73443393572434,-74.00617998126812
25,Queens,Astoria,5d8d9c5e0a2ffc0008f28855,The Gully,40.76850859335492,-73.91565374304234
26,Queens,Kew Gardens,5782c9ce498edde587f5aa14,Tikka Indian Grill,40.7051790354148,-73.82981905825703
27,Queens,Long Island City,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,40.75021734610528,-73.93920223915505
28,Queens,Rego Park,4b3a8aa5f964a520996925e3,Sajni 026,40.72897409480735,-73.8578268690537
29,Queens,Bayside,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,40.76604063281064,-73.7742736306867
30,Queens,Bayside,502063b4e4b0c49dd7e1f9b5,Agra Indian Cuisine,40.76604063281064,-73.7742736306867
31,Staten Island,Castleton Corners,57a27a37498e68b1928c8c66,Spice Rack,40.61333593766742,-74.11918058534842
32,Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,40.57257231820632,-74.1164794360638
33,Manhattan,Noho,5a1e961c1987ec47beed877d,Baar Baar,40.72325901885768,-73.98843368023597
34,Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,40.71145964370482,-73.79646462081593
35,Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,40.76028033131374,-73.96355614094303
36,Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,40.76028033131374,-73.96355614094303
37,Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,Saffron Garden,40.74565180608076,-73.91819286431682
